Geo,Year,HhPropIncQ1,HhPropIncQ2,HhPropIncQ3,HhPropIncQ4
48039660100,2019,0.315127025,0.655076463,1.083700791,0.941587717
48039660200,2019,0.717461699,1.123541823,1.760147709,2.364361623
48039660301,2019,0.644476605,1.726569325,1.952639441,1.703673785
48039660302,2019,0.192460254,0.381689298,0.605149228,0.840803545
48039660303,2019,0.188982892,0.310233942,0.595283385,0.901073284
48039660401,2019,0.550270991,1.141395638,1.8393353,1.429839021
48039660402,2019,0.236035104,0.408921423,0.778379777,0.644975895
48039660403,2019,0.355767416,0.652849835,1.059125791,0.880300374
48039660501,2019,1.110738833,1.400905686,3.099845172,2.329934269
48039660502,2019,1.267656082,1.799252633,3.791093679,2.465420231
48039660503,2019,1.049929815,2.5278654,5.036882476,2.924811773
48039660504,2019,0.818038999,1.348747987,2.282875028,1.810651799
48039660603,2019,0.188884478,0.539456858,1.060067045,1.274251173
48039660604,2019,0.030429158,0.083716783,0.191420005,0.31037928
48039660605,2019,0.036481035,0.109335488,0.226188996,0.364069997
48039660606,2019,0.025216285,0.079142119,0.151548565,0.241485174
48039660607,2019,0.142227498,0.350941755,0.688106926,0.880187671
48039660608,2019,0.2104703,0.431214191,0.556250256,0.889485848
48039660609,2019,0.1086885,0.220241785,0.630657274,1.002307843
48039660610,2019,0.232848766,0.854163232,1.754516947,3.165038045
48039660611,2019,0.077365519,0.208502565,0.438653614,0.744763331
48039660612,2019,0.208089783,0.528748873,0.697756468,1.133207074
48039660613,2019,0.158122224,0.393628402,0.85764811,1.631900483
48039660614,2019,0.07963241,0.227753604,0.508049304,0.909106341
48039660615,2019,0.149218529,0.487265152,0.976875012,1.659395206
48039660616,2019,0.102425139,0.411308504,0.599079565,0.858075609
48039660703,2019,0.099619538,0.500882617,0.831249692,1.573627988
48039660704,2019,0.090377014,0.325964971,0.550918898,1.027302457
48039660705,2019,0.25421165,0.395440904,0.781672956,0.638485027
48039660706,2019,0.078251335,0.426651608,0.776514375,1.715651551
48039660707,2019,0.149644307,0.318886534,0.616032847,0.827238471
48039660708,2019,1.903111127,1.963075228,3.172679435,4.017825776
48039660803,2019,0.526314086,0.867224433,1.406845617,1.199238674
48039660804,2019,0.574435417,1.01586452,1.572818384,1.372698703
48039660805,2019,0.281386784,0.446961943,0.867206104,0.752259496
48039660806,2019,0.19917478,0.482412605,0.778381805,1.685799555
48039660901,2019,0.523972615,0.684089852,0.883124097,1.10327971
48039660902,2019,1.01614945,1.551409385,3.00290068,4.639389077
48039661000,2019,3.37821495,3.363059542,4.371090463,4.337958982
48039661100,2019,3.052740094,2.688818378,3.083171345,4.062624111
48039661200,2019,2.124623888,1.84644847,2.294855075,1.659089082
48039661300,2019,2.321102719,3.059791011,2.775604046,1.764092647
48039661400,2019,3.693088687,3.371100638,3.955129811,2.980221114
48039661501,2019,1.749386731,1.879287371,3.654720092,1.953890646
48039661502,2019,2.431097349,2.466785649,4.642233463,2.366429682
48039661601,2019,2.26429112,2.069660662,2.343588274,1.485216319
48039661602,2019,1.016353636,0.918737503,1.107359566,0.975255451
48039661700,2019,4.293629524,3.939006547,3.103703798,1.683960735
48039661800,2019,3.935631781,3.467118642,8.894229444,5.003355901
48039661901,2019,1.183369378,1.645833486,3.268244335,2.132914162
48039661902,2019,2.260679061,2.672792273,5.849847014,4.139257601
48039662000,2019,4.170455875,2.725179602,4.998876455,5.128675259
48039662100,2019,4.564265494,4.790126288,6.959549304,4.381803516
48039662200,2019,3.617102883,4.028483533,6.850417342,3.377230256
48039662300,2019,3.088997713,2.405075401,2.777549684,1.774742311
48039662400,2019,5.922686798,7.580988689,7.052030389,4.410121778
48039662500,2019,1.864486765,1.191436838,2.371931385,1.590264925
48039662600,2019,1.094058506,1.030858937,1.225025715,0.813982215
48039662700,2019,2.119837764,2.992760803,2.623548442,2.221095199
48039662800,2019,2.805674997,3.182673562,4.090303875,1.935772875
48039662900,2019,2.099029629,2.234558802,3.479129977,1.984297413
48039663000,2019,1.536076758,1.761595458,1.870642359,0.815306551
48039663100,2019,2.368318117,2.217282544,3.910629048,3.411759077
48039663200,2019,0.617052166,0.666927816,1.138357837,0.632302626
48039663300,2019,0.398129206,0.399850181,1.041029487,0.477213411
48039663400,2019,0.604461711,0.489651051,0.890428205,0.876857403
48039663500,2019,0.30834544,0.399482037,0.610889455,0.315722207
48039663600,2019,0.716128398,0.957572902,1.577144863,0.799946346
48039663700,2019,0.329939379,0.485306819,0.79329158,0.458428069
48039663800,2019,0.452474303,0.703088309,1.162768377,0.674460479
48039663900,2019,0.451435913,0.754784303,1.18020346,0.69046456
48039664000,2019,0.994085168,0.95905279,1.117924484,0.475048806
48039664100,2019,4.337332521,3.800315501,4.995485181,2.865710732
48039664200,2019,4.031930232,4.432244386,2.931857073,1.27856297
48039664300,2019,1.18504425,1.327066921,1.817886513,1.053086591
48039664400,2019,3.073377713,1.695528963,1.820155162,0.845776223
48039664501,2019,1.585704829,1.36747483,1.938023805,1.105860536
48039990000,2019,1.10072E-05,1.3213E-05,8.64568E-06,4.60918E-06
48071710100,2019,3.291858938,2.782707651,4.112533932,2.799006777
48071710201,2019,0.899463929,1.673502342,2.80469288,1.626365165
48071710202,2019,1.160577467,1.74925993,4.042429161,2.102514814
48071710300,2019,2.512742612,2.427125026,5.187994525,3.316781808
48071710401,2019,5.353918129,3.740429828,7.903547457,4.584134445
48071710500,2019,4.417872888,4.464368901,7.820143634,5.225939083
48071710600,2019,0.00049088,0.000504152,0.000467828,0.000304274
48071990000,2019,0,0,0,0
48157670101,2019,0.313554955,0.677730413,0.797914639,0.215260563
48157670102,2019,0.18919235,0.340092245,0.356098735,0.107311915
48157670201,2019,0.183561543,0.309398949,0.392559709,0.126002817
48157670202,2019,0.632866517,1.01515492,1.068193828,0.275954924
48157670300,2019,0.581942288,0.724280945,0.980458218,0.241195923
48157670400,2019,0.290075676,0.428337981,0.525497686,0.214876259
48157670500,2019,0.751323663,0.959848835,2.120730963,1.208372952
48157670602,2019,0.369660497,0.632220171,0.798538256,0.182728161
48157670603,2019,0.227197935,0.412634347,0.848440176,0.519923192
48157670604,2019,0.557941586,0.733209718,1.197219324,0.496994293
48157670700,2019,1.174143085,2.726837245,3.401433244,3.128763733
48157670801,2019,0.313846863,0.470613855,0.917883811,0.787098194
48157670802,2019,0.223729368,0.323864219,0.743624571,0.744978037
48157670803,2019,0.20152808,0.333655862,0.677545632,0.668260943
48157670804,2019,0.208256708,0.537423267,1.154021382,1.111304817
48157670902,2019,0.224537129,0.453675305,0.80651955,0.799990827
48157670903,2019,0.327465543,0.562532501,1.02249449,1.040450502
48157670904,2019,0.597472253,0.804560821,1.439059343,1.227181192
48157671001,2019,0.683352635,1.002096463,2.173816119,1.368480323
48157671002,2019,0.580769137,0.877926255,1.878355027,1.187272171
48157671101,2019,0.304732403,0.440747908,0.75212804,0.482696263
48157671102,2019,0.46840809,1.034498647,1.976034823,1.318304489
48157671200,2019,0.360319592,0.548936356,1.43269231,0.672117588
48157671300,2019,0.53182587,0.879568199,1.285488078,0.460781713
48157671401,2019,0.152253085,0.21652125,0.322766781,0.420882415
48157671402,2019,0.209823979,0.352037253,0.541166502,0.739236192
48157671501,2019,0.281894535,0.404341336,1.120428226,2.132806017
48157671502,2019,0.326499973,0.164554611,0.788324644,1.69603883
48157671601,2019,0.614151553,0.913003356,1.396870924,1.989138607
48157671602,2019,0.33397156,0.511432952,0.856019677,1.351133882
48157671700,2019,0.728942682,0.736826568,1.140206861,1.386144567
48157671800,2019,2.174595409,2.594856317,3.554059314,3.811558689
48157671900,2019,0.3339764,0.502908693,0.667433069,0.453345975
48157672002,2019,0.309754493,0.692054817,0.874911976,1.689326299
48157672003,2019,1.61965295,0.836911602,1.005125701,0.958386843
48157672004,2019,0.179122685,0.506547784,0.717400059,0.57611011
48157672100,2019,0.345680043,0.506335318,1.201728735,2.897515014
48157672201,2019,0.276103268,0.253041959,0.670879493,1.147832839
48157672202,2019,0.228952197,0.401631946,0.535150238,0.477618081
48157672303,2019,0.187126272,0.428284161,0.710121393,0.666028851
48157672304,2019,0.209229941,0.41063685,0.710170231,0.676228409
48157672305,2019,0.150936154,0.294222515,0.534912663,0.501090764
48157672306,2019,0.073449375,0.10673585,0.197158623,0.180189605
48157672401,2019,0.153115418,0.298142093,0.550622967,0.561977493
48157672402,2019,0.348297126,0.357031519,0.834436243,0.91835693
48157672500,2019,0.228514516,0.448211974,0.678142748,0.467393084
48157672602,2019,0.095654719,0.257774005,0.356686452,0.285762155
48157672603,2019,0.102697285,0.384617678,0.466708379,0.307483299
48157672604,2019,0.133210999,0.387899424,0.509006856,0.403396323
48157672701,2019,0.171061256,0.355506858,0.458953899,0.408530195
48157672702,2019,0.301099908,0.335382329,0.604459478,0.747384096
