Geo,Year,Latitude,Longitude
24,2019,29.76548872,-95.36294693
27,2019,29.76429937,-95.35933544
29,2019,29.76326902,-95.3605825
32,2019,29.76292183,-95.36278162
34,2019,29.76161981,-95.36621193
37,2019,29.76402029,-95.36185486
42,2019,29.76150093,-95.36133334
44,2019,29.76023749,-95.36298531
60,2019,29.75831014,-95.36813049
74,2019,29.75597514,-95.3699213
96,2019,29.75341071,-95.3710496
98,2019,29.75145201,-95.37222048
105,2019,29.7605685,-95.35682318
122,2019,29.75879469,-95.36153168
123,2019,29.7587144,-95.36417984
124,2019,29.75803789,-95.36212715
127,2019,29.75631261,-95.36478822
148,2019,29.7552727,-95.36307069
150,2019,29.7530399,-95.36484329
155,2019,29.75371016,-95.36685462
157,2019,29.75184636,-95.36832683
158,2019,29.7517005,-95.36717177
159,2019,29.75032743,-95.36953528
169,2019,29.75092627,-95.36588499
172,2019,29.74851265,-95.36652221
173,2019,29.74955186,-95.36825028
181,2019,29.76107766,-95.35107967
187,2019,29.76186327,-95.35538406
188,2019,29.76183399,-95.35230722
189,2019,29.75993446,-95.35227019
191,2019,29.7609185,-95.35575707
192,2019,29.75884576,-95.35231598
198,2019,29.75956352,-95.35903934
204,2019,29.75798721,-95.35641535
208,2019,29.75713077,-95.35969657
213,2019,29.75597621,-95.36054267
216,2019,29.75533334,-95.3567222
221,2019,29.75320868,-95.36072993
233,2019,29.75008422,-95.36182584
234,2019,29.74976014,-95.36489089
258,2019,29.74735118,-95.36363187
261,2019,29.73891812,-95.37474296
264,2019,29.73679073,-95.3758229
265,2019,29.74394662,-95.37399798
267,2019,29.74261238,-95.37180707
268,2019,29.74159687,-95.37013858
270,2019,29.74211059,-95.37545354
271,2019,29.74076839,-95.37325571
272,2019,29.73975285,-95.37159311
276,2019,29.74681586,-95.3685135
278,2019,29.744856,-95.37004011
280,2019,29.7452553,-95.3660581
282,2019,29.7433252,-95.36752401
283,2019,29.74059958,-95.3684202
284,2019,29.73873585,-95.36989958
285,2019,29.73506731,-95.37286707
286,2019,29.73791929,-95.37306189
287,2019,29.73685709,-95.37141243
288,2019,29.74833274,-95.38128672
289,2019,29.74727969,-95.37964003
290,2019,29.74682138,-95.37867778
291,2019,29.74486116,-95.38013101
292,2019,29.74544739,-95.38092367
293,2019,29.74877296,-95.37649377
294,2019,29.74959779,-95.37772301
297,2019,29.75104439,-95.38007533
298,2019,29.74802843,-95.37520451
301,2019,29.74646023,-95.37265168
303,2019,29.74889402,-95.37199318
305,2019,29.74749067,-95.37436726
307,2019,29.74630389,-95.3778102
308,2019,29.74548785,-95.37658334
309,2019,29.74437148,-95.37932817
310,2019,29.74361958,-95.37806532
312,2019,29.74382326,-95.37600222
313,2019,29.73993876,-95.38093701
314,2019,29.73862108,-95.37885319
316,2019,29.74282216,-95.38107823
318,2019,29.74177006,-95.37953077
319,2019,29.7405082,-95.37736125
320,2019,29.75261614,-95.37889008
321,2019,29.75160768,-95.37552114
322,2019,29.75552548,-95.38212843
323,2019,29.75543861,-95.37694346
324,2019,29.75935288,-95.38071627
325,2019,29.76192634,-95.39041291
326,2019,29.75496089,-95.40613862
327,2019,29.75520834,-95.40017595
328,2019,29.75842184,-95.40567863
329,2019,29.75905574,-95.40013064
330,2019,29.75942273,-95.39529657
331,2019,29.75535773,-95.39512487
332,2019,29.75548193,-95.38896542
333,2019,29.75938212,-95.38915092
334,2019,29.74594782,-95.40642792
335,2019,29.75110869,-95.40643414
336,2019,29.74463231,-95.39825618
337,2019,29.74926453,-95.40002785
338,2019,29.74636864,-95.39365722
339,2019,29.75072972,-95.39509226
340,2019,29.74644256,-95.38875967
341,2019,29.75079463,-95.38890221
342,2019,29.7463128,-95.38376246
343,2019,29.75086877,-95.38400923
344,2019,29.7366258,-95.39524229
345,2019,29.74129212,-95.3949326
347,2019,29.74174789,-95.38659215
348,2019,29.736488,-95.38246249
349,2019,29.73688054,-95.38745599
350,2019,29.73274082,-95.40631032
351,2019,29.73287877,-95.40081597
352,2019,29.73306715,-95.39546525
353,2019,29.7334323,-95.38887763
354,2019,29.74024864,-95.4273969
355,2019,29.74032683,-95.42176281
356,2019,29.74050866,-95.41470843
357,2019,29.73636655,-95.41469154
358,2019,29.73264425,-95.41469005
359,2019,29.73647292,-95.40633476
360,2019,29.73656912,-95.40064447
361,2019,29.7406866,-95.40635399
362,2019,29.74076382,-95.40065338
363,2019,29.75424246,-95.42419212
364,2019,29.75179902,-95.44030122
365,2019,29.75076725,-95.41466805
366,2019,29.75580026,-95.41294462
367,2019,29.7456793,-95.41471086
368,2019,29.74424565,-95.44496098
369,2019,29.74453199,-95.43575345
370,2019,29.74501973,-95.42435345
371,2019,29.7655454,-95.37392404
373,2019,29.77604701,-95.37693456
374,2019,29.76822073,-95.36913959
375,2019,29.77171715,-95.36948946
376,2019,29.77531845,-95.37074669
378,2019,29.76642293,-95.39495198
379,2019,29.77292425,-95.39388862
380,2019,29.77269389,-95.38634869
381,2019,29.76582058,-95.39062913
382,2019,29.76521658,-95.38533791
383,2019,29.77073437,-95.37742404
384,2019,29.77373376,-95.40596051
385,2019,29.77305518,-95.39977129
386,2019,29.76749482,-95.44243015
387,2019,29.76033061,-95.42161943
388,2019,29.76631316,-95.42441747
389,2019,29.77292899,-95.42820487
390,2019,29.76412264,-95.41280077
391,2019,29.76634792,-95.41919198
392,2019,29.76826139,-95.41296109
393,2019,29.76425361,-95.40426101
394,2019,29.7682315,-95.40370196
395,2019,29.7744335,-95.42191803
396,2019,29.7738111,-95.41366767
397,2019,29.77933034,-95.39239404
398,2019,29.77955346,-95.37998951
399,2019,29.78613592,-95.39260151
400,2019,29.78378956,-95.38398711
401,2019,29.78864544,-95.38437091
402,2019,29.78390713,-95.37662506
403,2019,29.78864033,-95.37646501
404,2019,29.78328862,-95.37062299
405,2019,29.79472594,-95.38287872
406,2019,29.80168427,-95.38400735
407,2019,29.80605428,-95.37788738
408,2019,29.81071533,-95.37833295
409,2019,29.79544917,-95.37559995
410,2019,29.80095286,-95.37711741
411,2019,29.80822756,-95.40483483
412,2019,29.80831308,-95.3943549
413,2019,29.80917716,-95.38592749
414,2019,29.79720952,-95.4038878
415,2019,29.79738647,-95.39279962
416,2019,29.77857166,-95.40504895
417,2019,29.78087576,-95.40243305
418,2019,29.78692505,-95.40360761
419,2019,29.7812799,-95.44646221
420,2019,29.7794829,-95.43634593
422,2019,29.78171684,-95.43669933
423,2019,29.78736782,-95.44582921
424,2019,29.78674752,-95.43230331
425,2019,29.7865221,-95.42133826
426,2019,29.78109718,-95.42507842
427,2019,29.78705359,-95.41419664
428,2019,29.78574057,-95.41057705
429,2019,29.78113077,-95.41457111
430,2019,29.79390351,-95.44313946
431,2019,29.79959826,-95.44345586
432,2019,29.79538828,-95.43394362
433,2019,29.80410633,-95.43982002
434,2019,29.79469964,-95.42583757
435,2019,29.80795353,-95.43311089
436,2019,29.81108534,-95.41982823
437,2019,29.79765515,-95.41667716
438,2019,29.80655122,-95.4200657
439,2019,29.78104731,-95.3446695
440,2019,29.78846819,-95.34746826
441,2019,29.78874667,-95.34309239
442,2019,29.79830516,-95.34527425
443,2019,29.80707213,-95.34649513
444,2019,29.8059641,-95.3408562
445,2019,29.76520514,-95.35399292
447,2019,29.76598807,-95.35743571
449,2019,29.76676758,-95.3499596
450,2019,29.77154928,-95.36211852
451,2019,29.77043575,-95.35509196
452,2019,29.77289557,-95.35492956
453,2019,29.77375307,-95.3481975
454,2019,29.77515543,-95.34375811
455,2019,29.78374994,-95.36740368
456,2019,29.78523404,-95.36289449
457,2019,29.79193286,-95.36707729
458,2019,29.78817235,-95.35497893
459,2019,29.77735089,-95.36529774
460,2019,29.77909898,-95.36086328
461,2019,29.7757595,-95.35590677
462,2019,29.78079101,-95.35405908
463,2019,29.79592043,-95.36361526
464,2019,29.79818562,-95.35538446
465,2019,29.80839166,-95.35586405
466,2019,29.80093064,-95.36983477
467,2019,29.80073001,-95.364483
468,2019,29.80556421,-95.37059821
469,2019,29.8084831,-95.36518984
470,2019,29.81050886,-95.3714849
471,2019,29.77254311,-95.33775657
472,2019,29.77360902,-95.33172495
473,2019,29.7646959,-95.34472447
474,2019,29.76273898,-95.33409332
475,2019,29.76652803,-95.33914475
476,2019,29.76814529,-95.33090962
477,2019,29.76906619,-95.32083661
478,2019,29.7615015,-95.32216476
480,2019,29.77072399,-95.31142592
482,2019,29.77063737,-95.30428355
483,2019,29.76360442,-95.3044024
484,2019,29.7701371,-95.29698378
485,2019,29.77437325,-95.29517324
486,2019,29.77420312,-95.27838781
487,2019,29.76286252,-95.28861191
490,2019,29.77550539,-95.31198793
491,2019,29.78192883,-95.3121314
492,2019,29.78107645,-95.30476781
493,2019,29.78218438,-95.29517465
494,2019,29.77817498,-95.32132191
495,2019,29.78051423,-95.33125799
496,2019,29.7800324,-95.33766209
497,2019,29.78935769,-95.33361894
498,2019,29.79717881,-95.33379125
499,2019,29.79700333,-95.32246782
500,2019,29.7847438,-95.32147744
501,2019,29.80379862,-95.33306812
502,2019,29.79059407,-95.32200434
503,2019,29.80453456,-95.32265038
504,2019,29.79194545,-95.31186412
505,2019,29.79737823,-95.31186178
506,2019,29.79671907,-95.30427727
507,2019,29.80487247,-95.31371953
508,2019,29.8045075,-95.3063497
511,2019,29.8005006,-95.29356771
512,2019,29.78307865,-95.27581995
517,2019,29.76570439,-95.27488863
518,2019,29.75360481,-95.27435535
519,2019,29.74365389,-95.26904323
520,2019,29.7915244,-95.29817524
521,2019,29.79419925,-95.27710449
523,2019,29.75874205,-95.34947093
524,2019,29.76136964,-95.34728876
526,2019,29.75361921,-95.33649353
527,2019,29.75720968,-95.34713508
528,2019,29.75985353,-95.34276997
530,2019,29.75123166,-95.35556723
531,2019,29.75491973,-95.35136946
532,2019,29.7569483,-95.35031875
533,2019,29.74572619,-95.34115443
536,2019,29.74893343,-95.33866379
537,2019,29.75257588,-95.34413362
538,2019,29.7468171,-95.33547503
539,2019,29.75032731,-95.32786578
540,2019,29.75560953,-95.32676789
541,2019,29.7441753,-95.32613836
542,2019,29.74260951,-95.32066924
544,2019,29.74894651,-95.32376309
545,2019,29.75370091,-95.31144031
547,2019,29.73381509,-95.33722204
548,2019,29.73285997,-95.34007188
549,2019,29.73929527,-95.34119911
550,2019,29.73780556,-95.33607414
551,2019,29.74019701,-95.34422338
553,2019,29.74002646,-95.33476516
554,2019,29.74158788,-95.34006747
555,2019,29.73845517,-95.32949902
556,2019,29.74226059,-95.33164337
557,2019,29.73136713,-95.33341841
561,2019,29.74877726,-95.35233548
562,2019,29.74351678,-95.3565703
563,2019,29.74577802,-95.35478465
564,2019,29.72793668,-95.32900852
565,2019,29.73270829,-95.32420167
566,2019,29.73886415,-95.32367836
567,2019,29.73718925,-95.31792514
568,2019,29.72948267,-95.31484061
569,2019,29.7353647,-95.31096526
570,2019,29.73028169,-95.30240026
571,2019,29.72263311,-95.32470133
572,2019,29.72275279,-95.31830611
573,2019,29.71879647,-95.31049522
574,2019,29.73963255,-95.30756824
575,2019,29.73650264,-95.29734128
576,2019,29.74932222,-95.30227277
577,2019,29.74354005,-95.30544375
578,2019,29.74725968,-95.29704456
579,2019,29.7449626,-95.2908662
580,2019,29.74056089,-95.29567844
581,2019,29.727456,-95.28744487
582,2019,29.73279375,-95.28564341
583,2019,29.73723416,-95.28609389
584,2019,29.73916452,-95.28028756
585,2019,29.71516156,-95.30421451
586,2019,29.71545499,-95.29620997
587,2019,29.72358179,-95.29975723
588,2019,29.72115058,-95.29132543
589,2019,29.70824692,-95.29810284
590,2019,29.70977717,-95.29231073
591,2019,29.71123411,-95.28455408
592,2019,29.70280016,-95.28586466
593,2019,29.70819529,-95.27525168
594,2019,29.72077788,-95.28184614
595,2019,29.72050212,-95.27265073
596,2019,29.71359095,-95.27196183
597,2019,29.74113947,-95.36193628
598,2019,29.73346138,-95.3680611
599,2019,29.73475721,-95.36115421
600,2019,29.73721722,-95.36510732
601,2019,29.73908761,-95.3586122
