Geo,Year,EcoProp,ImpProp
24,2019,0,0
27,2019,0,0
29,2019,0,0
32,2019,0,0
34,2019,0,0
37,2019,0,0
42,2019,0,0
44,2019,0,0
60,2019,0,0
74,2019,0,0
96,2019,0,0
98,2019,0,0
105,2019,0,0
122,2019,0,0
123,2019,0,0
124,2019,0,0
127,2019,0,0
148,2019,0,0
150,2019,0,0
155,2019,0,0
157,2019,0,0
158,2019,0,0
159,2019,0,0
169,2019,0,0
172,2019,0,0
173,2019,0,0
181,2019,0,0
187,2019,0,0
188,2019,0,0
189,2019,0,0
191,2019,0,0
192,2019,0,0
198,2019,0,0
204,2019,0,0
208,2019,0,0
213,2019,0,0
216,2019,0,0
221,2019,0,0
233,2019,0,0
234,2019,0,0
258,2019,0,0
261,2019,0,0
264,2019,0,0
265,2019,0,0
267,2019,0,0
268,2019,0,0
270,2019,0,0
271,2019,0,0
272,2019,0,0
276,2019,0,0
278,2019,0,0
280,2019,0,0
282,2019,0,0
283,2019,0,0
284,2019,0,0
285,2019,0,0
286,2019,0,0
287,2019,0,0
288,2019,0,0
289,2019,0,0
290,2019,0,0
291,2019,0,0
292,2019,0,0
293,2019,0,0
294,2019,0,0
297,2019,0,0
298,2019,0,0
301,2019,0,0
303,2019,0,0
305,2019,0,0
307,2019,0,0
308,2019,0,0
309,2019,0,0
310,2019,0,0
312,2019,0,0
313,2019,0,0
314,2019,0,0
316,2019,0,0
318,2019,0,0
319,2019,0,0
320,2019,0,0
321,2019,0,0
322,2019,0,0
323,2019,0,0
324,2019,0,0
325,2019,0,0
326,2019,0,0
327,2019,0,0
328,2019,0,0
329,2019,0,0
330,2019,0,0
331,2019,0,0
332,2019,0,0
333,2019,0,0
334,2019,0,0
335,2019,0,0
336,2019,0,0
337,2019,0,0
338,2019,0,0
339,2019,0,0
340,2019,0,0
341,2019,0,0
342,2019,0,0
343,2019,0,0
344,2019,0,0
345,2019,0,0
347,2019,0,0
348,2019,0,0
349,2019,0,0
350,2019,0,0
351,2019,0,0
352,2019,0,0
353,2019,0,0
354,2019,0,0
355,2019,0,0
356,2019,0,0
357,2019,0,0
358,2019,0,0
359,2019,0,0
360,2019,0,0
361,2019,0,0
362,2019,0,0
363,2019,0,0
364,2019,0,0
365,2019,0,0
366,2019,0,0
367,2019,0,0
368,2019,0,0
369,2019,0,0
370,2019,0,0
371,2019,0,0
373,2019,0,0
374,2019,0,0
375,2019,0,0
376,2019,0,0
378,2019,0,0
379,2019,0,0
380,2019,0,0
381,2019,0,0
382,2019,0,0
383,2019,0,0
384,2019,0,0
385,2019,0,0
386,2019,0,0
387,2019,0,0
388,2019,0,0
389,2019,0,0
390,2019,0,0
391,2019,0,0
392,2019,0,0
393,2019,0,0
394,2019,0,0
395,2019,0,0
396,2019,0,0
397,2019,0,0
398,2019,0,0
399,2019,0,0
400,2019,0,0
401,2019,0,0
402,2019,0,0
403,2019,0,0
404,2019,0,0
405,2019,0,0
406,2019,0,0
407,2019,0,0
408,2019,0,0
409,2019,0,0
410,2019,0,0
411,2019,0,0
412,2019,0,0
413,2019,0,0
414,2019,0,0
415,2019,0,0
416,2019,0,0
417,2019,0,0
418,2019,0,0
419,2019,0,0
420,2019,0,0
422,2019,0,0
423,2019,0,0
424,2019,0,0
425,2019,0,0
426,2019,0,0
427,2019,0,0
428,2019,0,0
429,2019,0,0
430,2019,0,0
431,2019,0,0
432,2019,0,0
433,2019,0,0
434,2019,0,0
435,2019,0,0
436,2019,0,0
437,2019,0,0
438,2019,0,0
439,2019,0,0
440,2019,0,0
441,2019,0,0
442,2019,0,0
443,2019,0,0
444,2019,0,0
445,2019,0,0
447,2019,0,0
449,2019,0,0
450,2019,0,0
451,2019,0,0
452,2019,0,0
453,2019,0,0
454,2019,0,0
455,2019,0,0
456,2019,0,0
457,2019,0,0
458,2019,0,0
459,2019,0,0
460,2019,0,0
461,2019,0,0
462,2019,0,0
463,2019,0,0
464,2019,0,0
465,2019,0,0
466,2019,0,0
467,2019,0,0
468,2019,0,0
469,2019,0,0
470,2019,0,0
471,2019,0,0
472,2019,0,0
473,2019,0,0
474,2019,0,0
475,2019,0,0
476,2019,0,0
477,2019,0,0
478,2019,0,0
480,2019,0,0
482,2019,0,0
483,2019,0,0
484,2019,0,0
485,2019,0,0
486,2019,0,0
487,2019,0,0
490,2019,0,0
491,2019,0,0
492,2019,0,0
493,2019,0,0
494,2019,0,0
495,2019,0,0
496,2019,0,0
497,2019,0,0
498,2019,0,0
499,2019,0,0
500,2019,0,0
501,2019,0,0
502,2019,0,0
503,2019,0,0
504,2019,0,0
505,2019,0,0
506,2019,0,0
507,2019,0,0
508,2019,0,0
511,2019,0,0
512,2019,0,0
517,2019,0,0
518,2019,0,0
519,2019,0,0
520,2019,0,0
521,2019,0,0
523,2019,0,0
524,2019,0,0
526,2019,0,0
527,2019,0,0
528,2019,0,0
530,2019,0,0
531,2019,0,0
532,2019,0,0
533,2019,0,0
536,2019,0,0
537,2019,0,0
538,2019,0,0
539,2019,0,0
540,2019,0,0
541,2019,0,0
542,2019,0,0
544,2019,0,0
545,2019,0,0
547,2019,0,0
548,2019,0,0
549,2019,0,0
550,2019,0,0
551,2019,0,0
553,2019,0,0
554,2019,0,0
555,2019,0,0
556,2019,0,0
557,2019,0,0
561,2019,0,0
562,2019,0,0
563,2019,0,0
564,2019,0,0
565,2019,0,0
566,2019,0,0
567,2019,0,0
568,2019,0,0
569,2019,0,0
570,2019,0,0
571,2019,0,0
572,2019,0,0
573,2019,0,0
574,2019,0,0
575,2019,0,0
576,2019,0,0
577,2019,0,0
578,2019,0,0
579,2019,0,0
580,2019,0,0
581,2019,0,0
582,2019,0,0
583,2019,0,0
584,2019,0,0
585,2019,0,0
586,2019,0,0
587,2019,0,0
588,2019,0,0
589,2019,0,0
590,2019,0,0
591,2019,0,0
592,2019,0,0
593,2019,0,0
594,2019,0,0
595,2019,0,0
596,2019,0,0
597,2019,0,0
598,2019,0,0
599,2019,0,0
600,2019,0,0
601,2019,0,0
602,2019,0,0
603,2019,0,0
604,2019,0,0
605,2019,0,0
606,2019,0,0
607,2019,0,0
608,2019,0,0
609,2019,0,0
610,2019,0,0
611,2019,0,0
612,2019,0,0
613,2019,0,0
614,2019,0,0
615,2019,0,0
616,2019,0,0
617,2019,0,0
618,2019,0,0
619,2019,0,0
620,2019,0,0
621,2019,0,0
622,2019,0,0
623,2019,0,0
624,2019,0,0
625,2019,0,0
626,2019,0,0
627,2019,0,0
628,2019,0,0
629,2019,0,0
630,2019,0,0
631,2019,0,0
632,2019,0,0
633,2019,0,0
634,2019,0,0
635,2019,0,0
636,2019,0,0
637,2019,0,0
644,2019,0,0
645,2019,0,0
647,2019,0,0
649,2019,0,0
650,2019,0,0
651,2019,0,0
652,2019,0,0
653,2019,0,0
655,2019,0,0
657,2019,0,0
658,2019,0,0
659,2019,0,0
660,2019,0,0
661,2019,0,0
662,2019,0,0
663,2019,0,0
664,2019,0,0
666,2019,0,0
667,2019,0,0
669,2019,0,0
670,2019,0,0
671,2019,0,0
672,2019,0,0
674,2019,0,0
675,2019,0,0
676,2019,0,0
677,2019,0,0
679,2019,0,0
680,2019,0,0
681,2019,0,0
682,2019,0,0
683,2019,0,0
685,2019,0,0
687,2019,0,0
688,2019,0,0
689,2019,0,0
690,2019,0,0
691,2019,0,0
692,2019,0,0
693,2019,0,0
694,2019,0,0
695,2019,0,0
696,2019,0,0
